ticker,rebate,pop_growth,ev_sales,non_core_ev,ev_chg
CRWD,0.039,0.125222478,33.54478676,0.043987402,-0.22827082
FEYE,0.003,0.033551182,3.542178941,0.337026895,0.052025783
PANW,0.003,0.109000826,5.887086203,0.181460946,0.019170621
SPLK,0.003,0.215859715,7.928216322,0.169462791,0.039770551
RPD,0.003,0.078895949,7.62983376,0.098584646,-0.101442461
CLDR,0.014,0.049304415,2.552968215,0.279107028,0.109681883
OKTA,0.003,0.12183864,21.0698406,0.039180203,-0.167882199
FSLY,0.295,0.01354377,13.11509075,0.08283065,-0.183138379
CHKP,0.003,0.034521054,6.538431536,0.333881898,0.037175783
CYBR,0.003,0.082610089,10.28629744,0.1212585,-0.14076196
FSCT,0.003,0.035888207,5.148736428,0.06557917,0.007508542
FTNT,0.003,0.103893356,5.579445939,0.168251679,-0.010463257
MIME,0.003,0.076339852,5.802592009,0.078476482,-0.08174737
MOBL,0.004,0.057880288,3.601641042,0.148606745,0.082738621
PFPT,0.003,0.056500515,8.151339572,0.02616213,0.001364898
QLYS,0.005,0.047595663,8.6772436,0.148765944,-0.007251772
SAIL,0.003,0.073771329,7.076335712,0.047186942,-0.094911203
SCWX,0.013,0.028326885,1.747679883,0.115140851,-0.065923569
TENB,0.003,0.063299336,5.861173978,0.152404709,0.027343511
VRNS,0.003,0.057860185,7.295312321,0.073960976,-0.120640492
ZIXI,0.003,0.042348708,3.193839952,0.019275786,0.033127463
TLND,0.008,0.047598465,4.691094482,0.027869309,-0.013263613
PTC,0.003,0.01733511,6.280612191,0.043652452,0.004833168
PS,0.006,0.089705101,7.089606334,0.303934247,0.141548591
CARB,0.004,-0.09181731,2.136554405,0.08654009,0.091813543
FIVN,0.003,0.038919746,10.3650885,0.085237278,-0.109956787
ANSS,0.003,0.162409737,11.67048687,0.035669209,-0.028302941
LOGM,0.003,0.094668305,2.848601282,0.043272651,0.013815201
CDAY,0.003,-0.036327933,9.933998235,0.02876546,-0.056848969
PAYC,0.003,-0.15319366,18.13562765,0.006449491,-0.164520412
LPSN,0.003,0.068627451,8.358022239,0.088955067,-0.060954926
SWI,0.021,0.065985595,10.13630168,0.02157687,0.068087353
TDC,0.003,0.021367521,1.902936715,0.183746135,0.05282629
CSOD,0.003,0.012439604,5.796169376,0.126165325,0.027487712
MDB,0.007,0.111648096,18.69400034,0.051489249,-0.122623362
PLAN,0.003,0.114862192,17.93251061,0.053131833,-0.094844833
WORK,0.007,0.075299842,23.10424887,0.051711681,-0.137027413
COUP,0.003,0.169588415,22.07885929,0.084564757,-0.120855246
VEEV,0.003,0.0904916,18.91704805,0.064629144,-0.088618923
ESTC,0.005,0.113041105,18.67455307,0.048497577,0.03121931
TWLO,0.003,0.179721111,12.36571283,0.116212138,-0.16007554
SNCR,0.01,-0.116440611,1.411544647,0.15926456,-0.108879928
DBX,0.003,0.04123444,4.6452436,0.142563044,0.09329518
ALTR,0.003,-0.16491604,5.554908297,0.107411372,0.011916264
APPN,0.011,0.123063496,11.34561389,0.02312549,-0.134134897
