ticker,px_chg,eqy_c,val_trade,si_ratio,ev_c,ev_chg,sales_ev,sales2_ev,salesh_ev,ebitda_ev,ebitda2_ev,debt_ev,net_debt_ev,sales_chg_fwd,sales_chg_2fwd,sales_chg_qoq,sales_chg_ltm,ebitda_chg_fwd,ebitda_chg_2fwd
WLN FP Equity,-0.040734824,10971.3726,21241410,0,11228.67262,-0.03983859,4.74841128,4.428874873,4.428874873,0.052351068,0.059901203,0.034625642,0.002921093,0.374678526,0.072148439,0.058613295,0.089038553,0.025562505,0.007550136
NRO FP Equity,-0.018181818,524.5746,78419.01,0,378.4956192,-0.025023568,0.742148273,0.70923557,0.70923557,0.162926589,0.170324296,0.001321019,-0.462620942,0.040657042,0.046405882,-0.027972028,0.012330705,0.021086109,0.007397708
CGM FP Equity,0.033333333,390.5211,735718.8,0,498.6611267,0.025917234,1.009946586,0.97062993,0.97062993,0.161967708,0.173514628,0.379215443,0.216579946,0.055725184,0.040506329,-0.09207239,0.015608696,0.035434886,0.01154692
ALESK FP Equity,0.012376238,468.8462,377294.5,0,455.3701888,0.014285769,4.513084131,3.936906713,3.674706055,0.047726005,0.056290466,0.020422944,-0.029646209,0.161492328,0.146352825,0.109950546,0.088867401,0.006482638,0.008564461
HO FP Equity,-0.032287403,22696.0195,29819110,0,27394.51951,-0.026894981,1.472371311,1.368357618,1.366972151,0.089405875,0.09904565,0.253831793,0.161200126,0.1735141,0.07601353,0.436477239,0.048690967,0.023159048,0.009639775
AUB FP Equity,-0.031626506,424.1645,145456.4,0,423.9574664,-0.031641399,0.992874629,0.944225983,0.944225983,0.109680814,0.115459696,0.045523435,-0.000471745,0.065957027,0.051522248,-0.034268771,0.014229403,0.013060272,0.005778882
AXW FP Equity,-0.048034934,231.3567,25665.51,0,272.1266529,-0.041134328,0.951491793,0.942429967,0.942429967,0.097840471,0.118419125,0.268257443,0.149562711,0.007638321,0.009615385,0.067164179,-0.000556852,-0.016628287,0.020578653
SOPH LN Equity,0.101314772,2081.5625,346647200,0,2737.881557,0.372972925,3.60463377,3.317546505,3.279711692,0.043679026,0.051120911,0.112240064,0.049381245,0.068878413,0.086536018,-0.01583834,0.006614129,0.011500863,0.007441885
SPNS US Equity,-0.013736264,897.5824,2276854,0.01310987,886.4103546,-0.013906981,2.752827188,2.523588198,2.484241516,0.061859611,0.07122322,0.07458171,-0.012603643,0.111467793,0.090838509,0.03570917,0.024923942,0.013480213,0.009363609
MITK US Equity,-0.005060729,394.9403,2261187.25,0.03350483,366.9563425,-0.005444572,4.32935751,3.611775025,3.214242003,0.046940189,0.059611996,0,-0.076259753,0.33356409,0.198678622,0.096231797,0.077487569,0.054605951,0.012671807
APPS US Equity,-0.070950469,576.0808,13457587,0.02019759,560.8587666,-0.072736027,4.210651401,3.509754485,3.120614761,0.028260234,0.036907687,0,-0.028923503,0.286099122,0.1996997,0.12360253,0.081501221,0.017186145,0.008647453
OSPN US Equity,0.101478495,661.0951,3330208.25,0.1222145,595.7710917,0.113872313,2.559154174,2.343710038,2.304704303,0.033947602,0.050187061,0.016949463,-0.109646139,0.096664782,0.091924399,0.181188036,0.031148581,0.013533721,0.016239459
BNFT US Equity,-0.023389571,832.7925,6438941.5,0.1809538,971.3595136,-0.020120137,3.2773572,2.829411239,2.611801841,0.013195938,0.027337973,0.285122034,0.142652641,0.145577669,0.158317729,0.004099621,0.030220247,0.037784157,0.014142035
USAT US Equity,0.096820809,455.407,5406592.5,0.1536835,495.1129524,0.088370115,3.613963156,2.921020368,2.513297476,0.028680324,0.041404693,0.075477726,0.040926015,0.316130768,0.237226277,0.102319572,0.078841106,0.017115286,0.012724369
TRHC US Equity,-0.000688231,1282.8819,15585943,0.1562564,1487.983901,-0.000593403,5.13884672,4.182338146,3.625146354,0.026777171,0.038411706,0.172877542,0.137838857,0.417516033,0.228701875,0.250922751,0.124983618,0.048912492,0.011634534
PFPT US Equity,-0.004616227,7133.1915,93024808,0.03038811,7007.457432,-0.00469867,7.963019809,6.596806244,5.827040897,0.024355053,0.030253484,0.008130053,-0.017942885,0.227346393,0.207102273,0.056677688,0.056192324,0.028373344,0.00589843
MDB US Equity,-0.09598511,7659.0328,280700480,0.0631226,7463.266848,-0.098255473,19.02026542,14.67370575,12.01566934,-0.006308631,-0.003566803,0.032195955,-0.026230604,0.469518681,0.296214177,0.111648096,0.140838818,0.006014792,0.002741829
RPD US Equity,-0.088276836,2522.2122,31068728,0.08616414,2534.075241,-0.08789989,7.92207969,6.41841895,5.536590831,0.004851079,0.012329942,0.101642602,0.004681392,0.310474372,0.234272763,0.078895949,0.07808617,0.02140189,0.007478862
FSCT US Equity,0.001364629,1695.48,15772733,0.04496244,1632.084049,0.001417712,4.388396218,3.631251291,3.203551547,-0.00297595,0.012060041,0.025452733,-0.038843588,0.249480096,0.208507995,0.035888207,0.034083733,0.037182521,0.01503599
TLND US Equity,0.020919421,1208.2583,10736243,0.05950082,1207.431366,0.020934072,4.888386096,4.053728352,3.58451915,-0.017309472,-0.005764303,0.025910375,-0.000684925,0.208870269,0.205898785,0.047598465,0.050318554,0.013319184,0.01154517
GOOGL US Equity,0.014593422,852526.2312,1653574144,0.02138979,745696.2206,0.016765557,5.640857119,4.787472389,4.339411989,0.079235186,0.092320343,0.019077474,-0.143262091,-0.033792441,0.178253713,0.071686067,0.044270907,0.031821777,0.013085157
INTU US Equity,-0.081317779,69840.178,350726208,0.01891074,67536.17582,-0.0838593,8.990438741,8.131316253,7.889456927,0.041247731,0.045920367,0.006455799,-0.03411505,0.107311321,0.105656017,-0.696210269,0.019537121,0.010464229,0.004672636
WDAY US Equity,-0.00471859,39915.9617,341547232,0.02933657,39532.046,-0.004764196,11.01082252,8.953586674,7.753589413,0.017990468,0.02359549,0.039021659,-0.009711463,0.272169032,0.229766676,0.075991298,0.071330836,0.022896235,0.005605022
CTSH US Equity,-0.004046063,35346.6281,180008944,0.03428121,33997.6281,-0.004205933,2.036761808,1.936579881,1.936579881,0.097525186,0.103154255,0.048650453,-0.039679239,0.035162791,0.051731368,0.007542579,0.008270539,0.000489005,0.005629069
TEAM US Equity,0.001649918,32442.724,219398928,0.06803198,31582.81363,0.001694916,20.32080176,16.12883824,13.61192676,0.012324741,0.015166476,0.027026598,-0.027227182,0.284337099,0.259904865,0.081857277,0.078418652,0.012106711,0.002841735
SNPS US Equity,-0.063377869,20544.1758,187287808,0.01261191,20005.19731,-0.064974446,5.954636655,5.530728292,5.521639513,0.045596501,0.049845397,0.007095056,-0.027235023,0.076429852,0.076646029,0.020003779,0.022669777,0.017132298,0.004248896
CHKP US Equity,0.024907407,16851.3915,94556768,0.1691302,12741.81414,0.033207478,6.390849717,6.210269143,6.210269143,0.080502665,0.08421807,0,-0.322526836,0.04032612,0.029077737,0.034521054,0.010509422,0.007156595,0.003715405
DOX US Equity,0.017065366,9070.5908,38791252,0.05696758,8655.23675,0.017898967,2.117230125,2.045865066,2.045865066,0.094104878,0.098148673,0,-0.052882089,0.028469847,0.034882583,0.004949704,0.005575625,0.020215392,0.004043795
COUP US Equity,-0.10051496,8671.6641,336832000,0.08538613,8618.486759,-0.10107246,23.15757915,18.04079938,14.92674244,0.003215646,0.006220814,0.087606215,-0.006170109,0.429399384,0.283622675,0.169588415,0.117354341,0.007499228,0.003005168
PEGA US Equity,0.005596754,5687.193,17315118,0.04217869,5601.011764,0.005683358,6.055147852,5.448455023,5.257343485,0.003427952,0.011682354,0.012295636,-0.015386684,0.037482853,0.111351351,-0.032717623,0.010142184,0.001667734,0.008254402
MANH US Equity,-0.009044863,5285.5991,38334852,0.1474561,5208.825219,-0.009176954,8.666930481,8.257490835,8.257490835,0.025821561,0.028125344,0.008183611,-0.014739216,0.074832292,0.049584027,0.04000566,0.021612085,-0.001535855,0.002303782
BLKB US Equity,0.02972028,4634.1085,16727345,0.1352561,5262.882567,0.026076907,5.878345322,5.601194728,5.601194728,0.035658595,0.038001988,0.125677895,0.11947331,0.055024358,0.049480621,0.04542464,0.013905228,0.009250444,0.002343393
ACIW US Equity,0.066188458,3816.5633,32996638,0.09437417,5129.095234,0.04843057,3.887150613,3.384424437,3.152580179,0.070642674,0.083575559,0.283076826,0.255899323,0.306720276,0.148541114,0.445765223,0.062229399,0.027114334,0.012932885
CSOD US Equity,0.015381798,3364.7788,36824992,0.0439069,3339.02275,0.015502302,5.859805675,5.14559476,4.836992423,0.037685577,0.051861581,0.113011509,-0.007713634,0.059355892,0.138800459,0.012439604,0.017146423,0.02945233,0.014176004
VRNT US Equity,-0.015281963,3054.7952,33962832,0.1227318,3561.266164,-0.013137163,2.604081371,2.395394248,2.366709359,0.084333208,0.097905347,0.254390702,0.138101725,0.112075085,0.087120157,0.028693868,0.014315985,0.02728889,0.013572139
BL US Equity,-0.036169808,2800.9519,37119176,0.1198128,2676.579797,-0.037787008,9.463965507,7.81172964,6.873454644,0.011787431,0.017074029,0.0062408,-0.048005294,0.24158428,0.211507047,0.086310406,0.059052582,0.014589515,0.005286597
LPSN US Equity,-0.040619447,2476.2952,21621242,0.1135568,2445.270109,-0.041113639,8.40917413,7.007930291,6.229541776,0.000906239,0.008888998,0.079214971,-0.01268776,0.163898206,0.199951167,0.068627451,0.036042775,0.003647041,0.007982758
SVMK US Equity,0.08432304,2429.9857,22283766,0.03204998,2581.57771,0.078980459,8.450336202,6.989042869,6.162723515,0.013956194,0.018521232,0.118585623,0.058720681,0.201223636,0.20908347,0.094666453,0.047048103,0.044684303,0.004565038
EXLS US Equity,-0.009660422,2312.2712,8632518,0.05623239,2416.242028,-0.009248563,2.44856306,2.282488218,2.282488218,0.066580665,0.07692731,0.147757135,0.043030044,0.117412061,0.072760438,0.01642923,0.036471074,0.025798326,0.010346646
EPAY US Equity,0.008793356,1811.5149,9290583,0.03965384,1816.172931,0.008770598,4.052953244,3.680605968,3.586759598,0.0576074,0.063664092,0.06056692,0.002564734,0.061970035,0.101164667,0.016939439,0.00421714,0.031624742,0.006056692
